Name RNA Mapping_rate Group
BGV007931 SRR786526 0.9623 CER
BGV007931 SRR786527 0.9701 CER
BGV007931 SRR786528 0.9832 CER
BGV007931 SRR786529 0.9611 CER
BGV007931 SRR786530 0.9641 CER
BGV007931 SRR786531 0.9449 CER
BGV007931 SRR786532 0.9403 CER
BGV007931 SRR786533 0.9586 CER
BGV007931 SRR786534 0.9607 CER
BGV007931 SRR786535 0.9686 CER
BGV007931 SRR786536 0.9707 CER
BGV007931 SRR786537 0.9709 CER
BGV007931 SRR786538 0.9456 CER
BGV007931 SRR786539 0.9481 CER
BGV007931 SRR786540 0.9707 CER
BGV007931 SRR786541 0.9671 CER
BGV007931 SRR786542 0.9776 CER
BGV007931 SRR786543 0.9169 CER
BGV007931 SRR786544 0.9098 CER
BGV007931 SRR786545 0.9651 CER
BGV007931 SRR786546 0.9727 CER
BGV007931 SRR786547 0.971 CER
BGV007931 SRR786548 0.9695 CER
BGV007931 SRR786549 0.9626 CER
BGV007931 SRR786550 0.9696 CER
BGV007931 SRR786551 0.9743 CER
BGV007931 SRR786581 0.9481 CER
BGV007931 SRR786582 0.9544 CER
BGV007931 SRR786583 0.949 CER
BGV007931 SRR786584 0.9552 CER
BGV007931 SRR786585 0.9584 CER
BGV007931 SRR786586 0.9589 CER
BGV007931 SRR786587 0.9478 CER
BGV007931 SRR786588 0.9509 CER
BGV007931 SRR786589 0.9622 CER
BGV007931 SRR786590 0.9652 CER
BGV007931 SRR786591 0.9575 CER
BGV007931 SRR786592 0.96 CER
BGV007931 SRR786593 0.9625 CER
BGV007931 SRR786594 0.9649 CER
BGV007931 SRR786595 0.9571 CER
BGV007931 SRR786596 0.96 CER
BGV007989 SRR10435545 0.977 CER
BGV007989 SRR10435546 0.9826 CER
BGV007989 SRR10435547 0.9851 CER
BGV007989 SRR10435549 0.9125 CER
BGV007989 SRR12560324 0.9538 CER
BGV007989 SRR2064660 0.9915 CER
BGV007989 SRR2064662 0.9923 CER
BGV007989 SRR2064663 0.9924 CER
BGV007989 SRR2064665 0.9884 CER
BGV007989 SRR2064668 0.9901 CER
BGV007989 SRR2064671 0.9931 CER
BGV007989 SRR2356898 0.9355 CER
BGV007989 SRR2356905 0.9558 CER
BGV007989 SRR2356907 0.9543 CER
BGV007989 SRR2356916 0.9483 CER
BGV007989 SRR2356941 0.9248 CER
BGV007989 SRR2356969 0.9521 CER
BGV007989 SRR2939611 0.9678 CER
BGV007989 SRR2939613 0.9714 CER
BGV007989 SRR2939615 0.9705 CER
BGV007989 SRR3031978 0.92 CER
BGV007989 SRR3119178 0.9835 CER
BGV007989 SRR3119184 0.9845 CER
BGV007989 SRR3119185 0.99 CER
BGV007989 SRR3119186 0.9897 CER
BGV007989 SRR3119187 0.9918 CER
BGV007989 SRR3119188 0.9919 CER
BGV007989 SRR3119189 0.9911 CER
BGV007989 SRR3119190 0.9871 CER
BGV007989 SRR786507 0.9826 CER
BGV007989 SRR786508 0.9827 CER
BGV007989 SRR786509 0.9829 CER
BGV007989 SRR786514 0.9817 CER
BGV007989 SRR786515 0.974 CER
BGV007989 SRR786516 0.9767 CER
BGV007989 SRR786517 0.9752 CER
BGV007989 SRR786520 0.9399 CER
BGV007989 SRR786521 0.9401 CER
BGV007989 SRR786522 0.9538 CER
BGV007989 SRR786523 0.9537 CER
BGV007989 SRR786525 0.9756 CER
BGV007989 SRR786526 0.9637 CER
BGV007989 SRR786527 0.9712 CER
BGV007989 SRR786528 0.9841 CER
BGV007989 SRR786529 0.9629 CER
BGV007989 SRR786530 0.9657 CER
BGV007989 SRR786531 0.9514 CER
BGV007989 SRR786532 0.9464 CER
BGV007989 SRR786533 0.9591 CER
BGV007989 SRR786534 0.9611 CER
BGV007989 SRR786535 0.9692 CER
BGV007989 SRR786536 0.971 CER
BGV007989 SRR786537 0.9709 CER
BGV007989 SRR786538 0.9457 CER
BGV007989 SRR786539 0.9484 CER
BGV007989 SRR786540 0.9721 CER
BGV007989 SRR786541 0.9691 CER
BGV007989 SRR786542 0.9778 CER
BGV007989 SRR786543 0.9254 CER
BGV007989 SRR786544 0.9178 CER
BGV007989 SRR786545 0.9665 CER
BGV007989 SRR786546 0.974 CER
BGV007989 SRR786547 0.9723 CER
BGV007989 SRR786548 0.9708 CER
BGV007989 SRR786549 0.9659 CER
BGV007989 SRR786550 0.9729 CER
BGV007989 SRR786551 0.9748 CER
BGV007989 SRR786581 0.9492 CER
BGV007989 SRR786582 0.9554 CER
BGV007989 SRR786583 0.9493 CER
BGV007989 SRR786584 0.9554 CER
BGV007989 SRR786585 0.9592 CER
BGV007989 SRR786586 0.9599 CER
BGV007989 SRR786587 0.9481 CER
BGV007989 SRR786588 0.9513 CER
BGV007989 SRR786589 0.9631 CER
BGV007989 SRR786590 0.9662 CER
BGV007989 SRR786591 0.9575 CER
BGV007989 SRR786592 0.96 CER
BGV007989 SRR786593 0.9634 CER
BGV007989 SRR786594 0.966 CER
BGV007989 SRR786595 0.9572 CER
BGV007989 SRR786596 0.9602 CER
Brandywine SRR10435545 0.9804 BIG
Brandywine SRR10435546 0.9871 BIG
Brandywine SRR10435547 0.9882 BIG
Brandywine SRR10435549 0.9148 BIG
Brandywine SRR12560324 0.9562 BIG
Brandywine SRR2064660 0.9925 BIG
