QTN	h2_simulated	kinship_used	phenotype_simulated	h2_estimated	rep
10	0.15	snps	snps	0.116050355225742	74
10	0.15	snps	snps	0.0256114218486725	75
10	0.15	snps	snps	0.148673657003437	76
10	0.15	snps	snps	0.0231120427954253	77
10	0.15	snps	snps	0.194903482064811	78
10	0.15	snps	snps	0.338608949746866	79
10	0.15	snps	snps	0.158144634013854	80
10	0.15	snps	snps	0.217816605537795	81
10	0.15	snps	snps	0.0725545290504505	82
10	0.15	snps	snps	0.063261525106	83
10	0.15	snps	snps	0.151528894522121	84
10	0.15	snps	snps	0.242436646011881	85
10	0.15	snps	snps	0.231860065346244	86
10	0.15	snps	snps	0.0968500450277879	87
10	0.15	snps	snps	0	88
10	0.15	snps	snps	0.126244953160965	89
10	0.15	snps	snps	0.195024837352788	90
10	0.15	snps	snps	0.184600221432341	91
10	0.15	snps	snps	0	92
10	0.15	snps	snps	0.125575686500562	93
10	0.15	snps	snps	0	94
10	0.15	snps	snps	0.357890975887512	95
10	0.15	snps	snps	0.0408919262714189	96
10	0.15	snps	snps	0	97
10	0.15	snps	snps	0	98
10	0.15	snps	snps	0.138873847856954	99
10	0.15	snps	snps	0.0276477886556399	100
10	0.3	snps	snps	0.321916747432145	1
10	0.3	snps	snps	0.242909077891756	2
10	0.3	snps	snps	0.356653823958554	3
10	0.3	snps	snps	0.486591507646814	4
10	0.3	snps	snps	0.179721444266027	5
10	0.3	snps	snps	0.217675657368682	6
10	0.3	snps	snps	0.105426959930052	7
10	0.3	snps	snps	0.258589138869657	8
10	0.3	snps	snps	0.115251823142739	9
10	0.3	snps	snps	0.243390384089407	10
10	0.3	snps	snps	0.430865301361693	11
10	0.3	snps	snps	0.328859997578286	12
10	0.3	snps	snps	0.418283572795742	13
10	0.3	snps	snps	0.175458688329701	14
10	0.3	snps	snps	0.427481653887232	15
10	0.3	snps	snps	0.221979785368352	16
10	0.3	snps	snps	0.291445871361239	17
10	0.3	snps	snps	0.660511878011594	18
10	0.3	snps	snps	0.256784555662294	19
10	0.3	snps	snps	0.235952569698663	20
10	0.3	snps	snps	0.267136384440705	21
10	0.3	snps	snps	0.574464069500379	22
10	0.3	snps	snps	0.0605280797743908	23
10	0.3	snps	snps	0.0812840835451872	24
10	0.3	snps	snps	0.231789323151516	25
10	0.3	snps	snps	0.198829880244173	26
10	0.3	snps	snps	0.301026243836645	27
10	0.3	snps	snps	0.408554397408065	28
10	0.3	snps	snps	0.190917490214627	29
10	0.3	snps	snps	0.399843478394634	30
10	0.3	snps	snps	0.259343157319965	31
10	0.3	snps	snps	0.171541340471143	32
10	0.3	snps	snps	0.0195571631788645	33
10	0.3	snps	snps	0.531127864999408	34
10	0.3	snps	snps	0.264129676503423	35
10	0.3	snps	snps	0.275398889235974	36
10	0.3	snps	snps	0.510125156208581	37
10	0.3	snps	snps	0.425265876791131	38
10	0.3	snps	snps	0.275664530028327	39
10	0.3	snps	snps	0.261718014620642	40
10	0.3	snps	snps	0.174882405586512	41
10	0.3	snps	snps	0.20021391955836	42
10	0.3	snps	snps	0.419164490466637	43
10	0.3	snps	snps	0.322091270626836	44
10	0.3	snps	snps	0.400766820382642	45
10	0.3	snps	snps	0.348137574510524	46
10	0.3	snps	snps	0.452068650516206	47
10	0.3	snps	snps	0.486621993097962	48
10	0.3	snps	snps	0.251315095512304	49
10	0.3	snps	snps	0.280594345388094	50
10	0.3	snps	snps	0.461625671982461	51
10	0.3	snps	snps	0.278557587928519	52
10	0.3	snps	snps	0.202650145895208	53
10	0.3	snps	snps	0.344309040583152	54
10	0.3	snps	snps	0.315348443449408	55
10	0.3	snps	snps	0.527051573865569	56
10	0.3	snps	snps	0	57
10	0.3	snps	snps	0.218304516192684	58
10	0.3	snps	snps	0.258073001651487	59
10	0.3	snps	snps	0.354266423826952	60
10	0.3	snps	snps	0.322013896719457	61
10	0.3	snps	snps	0.182485550991536	62
10	0.3	snps	snps	0.355508011901149	63
10	0.3	snps	snps	0.533164860333306	64
10	0.3	snps	snps	0.40692918061736	65
10	0.3	snps	snps	0.42370434517528	66
10	0.3	snps	snps	0.521285540932307	67
10	0.3	snps	snps	0.390311303089001	68
10	0.3	snps	snps	0.372211974645913	69
10	0.3	snps	snps	0.24303578840521	70
10	0.3	snps	snps	0.388432159662662	71
10	0.3	snps	snps	0.264364939617605	72
10	0.3	snps	snps	0.287375985935804	73
10	0.3	snps	snps	0.0598651791854816	74
10	0.3	snps	snps	0.309640454785987	75
10	0.3	snps	snps	0.116180172587713	76
10	0.3	snps	snps	0.298273212704136	77
10	0.3	snps	snps	0	78
10	0.3	snps	snps	0.42052272654932	79
